#,Id,TelegramUserId,FoodId,WeightGrams,AddedOn
1,3,79307128,2,73.00,2022-05-28 13:09:42.0651080
2,4,79307128,2,75.00,2022-05-28 13:14:53.2197750
3,9,79307128,11,147.00,2022-05-28 14:19:42.2219700
4,10,79307128,12,66.00,2022-05-28 14:22:48.7311570
5,11,79307128,13,40.00,2022-05-28 14:25:10.0322430
6,12,79307128,14,390.00,2022-05-28 17:10:34.3995310
7,15,79307128,18,,2022-05-28 20:12:40.9323130
8,17,79307128,21,400.00,2022-05-28 21:46:23.4244140
9,18,79307128,22,500.00,2022-05-28 21:48:07.6502420
10,19,79307128,21,171.00,2022-05-28 21:53:38.2808820
11,20,79307128,19,100.00,2022-05-28 21:58:40.6526660
12,21,79307128,23,5.00,2022-05-28 22:02:17.8628070
13,22,417498336,24,130.00,2022-05-28 23:14:44.9312430
14,23,417498336,24,200.00,2022-05-28 23:21:13.7446170
15,24,79307128,25,,2022-05-29 17:07:36.6686880
16,25,79307128,26,,2022-05-29 17:08:02.9222810
17,26,79307128,2,75.00,2022-05-29 17:08:31.5346840
18,27,79307128,27,200.00,2022-05-29 17:28:55.2796160
19,28,79307128,12,42.00,2022-05-29 17:30:23.0599090
20,29,79307128,28,160.00,2022-05-29 22:37:22.3853930
21,30,79307128,29,314.00,2022-05-29 22:44:46.3456740
22,31,79307128,19,65.00,2022-05-29 22:45:51.0258200
23,32,79307128,30,34.00,2022-05-29 22:51:02.3828660
24,33,79307128,28,100.00,2022-05-29 22:55:54.8330370
25,34,79307128,29,169.00,2022-05-29 22:57:13.1093660
26,35,79307128,19,41.00,2022-05-29 22:59:14.5103030
27,36,79307128,29,99.00,2022-05-29 23:08:03.6040020
28,37,79307128,30,14.00,2022-05-29 23:19:57.0560180
29,1016,79307128,2,76.00,2022-05-30 10:14:05.4046830
30,1017,79307128,1020,,2022-05-30 10:14:36.7661800
31,1018,79307128,2,60.00,2022-05-30 11:19:37.5937780
32,1019,79307128,1021,250.00,2022-05-30 19:21:29.2175410
33,1020,79307128,1022,300.00,2022-05-30 19:21:56.0076080
34,1021,79307128,13,64.00,2022-05-30 19:22:12.1397600
35,1022,79307128,1023,12.00,2022-05-30 19:23:37.9790830
36,1023,79307128,29,433.00,2022-05-30 20:58:59.4611300
37,1024,79307128,1024,113.00,2022-05-30 21:01:00.2305950
38,1025,79307128,30,52.00,2022-05-30 21:04:51.6385660
39,1026,79307128,1025,34.00,2022-05-30 21:14:52.9732630
40,1027,79307128,1023,6.00,2022-05-30 21:18:17.0597790
41,1028,79307128,1024,107.00,2022-05-30 21:22:34.0900970
42,1029,79307128,30,29.00,2022-05-30 21:23:33.6561770
43,1030,79307128,29,149.00,2022-05-30 21:26:15.8380960
44,1031,79307128,1024,79.00,2022-05-30 21:35:45.5014060
45,1032,79307128,1024,61.00,2022-05-30 21:54:48.2238150
46,1033,79307128,30,18.00,2022-05-30 22:02:16.6986490
47,1034,79307128,1025,10.00,2022-05-30 22:17:21.8873390
48,1035,79307128,1026,61.00,2022-05-30 22:18:55.3576710
49,1036,79307128,1026,65.00,2022-05-30 22:49:34.7782600
50,1041,79307128,2,64.00,2022-06-02 10:29:38.8313550
51,1042,79307128,18,,2022-06-02 10:29:43.3914660
52,1043,79307128,2,62.00,2022-06-02 15:13:52.4558250
53,1044,79307128,1028,270.00,2022-06-02 15:16:14.9522340
54,1045,79307128,1029,117.00,2022-06-02 15:17:44.8809850
55,1046,79307128,21,406.00,2022-06-02 21:08:15.8819490
56,1047,79307128,1030,117.00,2022-06-02 21:09:22.3699030
57,1048,79307128,19,60.00,2022-06-02 21:15:15.3464850
58,1049,79307128,21,166.00,2022-06-02 21:21:35.9154740
59,1050,79307128,19,60.00,2022-06-02 21:22:20.7699440
60,1051,79307128,1030,83.00,2022-06-02 21:28:28.0202650
61,1052,79307128,21,175.00,2022-06-02 21:34:26.7608870
62,1053,79307128,1030,77.00,2022-06-02 21:42:44.5590680
63,1054,79307128,19,40.00,2022-06-02 21:44:51.6100910
64,1055,79307128,1030,101.00,2022-06-02 21:53:24.1079060
