#,Id,TelegramUserId,Name,CaloriesPer100Grams,AddedOn,CaloriesPerPortion
1,2,79307128,Молоко Parmalat Comfort 1.8%,47.00,2022-05-28 12:28:12.3716040,
2,9,79307128,Молоко Parmalat Comfort 3.5%,62.00,2022-05-28 13:06:10.4651060,
3,11,79307128,Пельмени Домашние Сибирская Коллекция,280.00,2022-05-28 14:19:20.5673600,
4,12,79307128,Соус Olive Barilla,73.00,2022-05-28 14:20:30.4188570,
5,13,79307128,Торт Маракуйа Вкусвилл,218.00,2022-05-28 14:25:06.8910880,
6,14,79307128,Суп Харчо Говядина Вкусвилл,84.40,2022-05-28 17:10:26.5898670,
7,18,79307128,Блин Фермерский Теремок,,2022-05-28 11:12:40.9244160,800.00
8,19,79307128,Кальмар копченый,99.00,2022-05-28 21:10:26.5898670,
9,21,79307128,Салат овощной с кальмарами,51.10,2022-05-28 21:46:12.0817620,
10,22,79307128,Пиво светлое Schlitz Premium Helles,41.00,2022-05-28 21:48:03.8463530,
11,23,79307128,Чипсы Bruto Лучок и Сметана,550.00,2022-05-28 22:02:14.9855040,
12,24,417498336,Салат,230.00,2022-05-28 23:14:07.7025010,
13,25,79307128,Большой английский завтрак Ketch Up,,2022-05-29 17:07:36.6599590,682.03
14,26,79307128,Капучино средний Ketch Up,,2022-05-29 17:08:02.9134410,218.20
15,27,79307128,Бифштекс с томатами и гречкой Вкусвилл,191.60,2022-05-29 17:28:47.3657120,
16,28,79307128,Вино Тёрле Рислинг,76.00,2022-05-29 22:36:55.3060800,
17,29,79307128,Салат овощной обычный,43.50,2022-05-29 22:44:43.7797100,
18,30,79307128,Сыр Brie President,360.00,2022-05-29 22:50:16.4895670,
19,1020,79307128,Блин с грибами в сливках и сыром Теремок,,2022-05-30 10:14:36.7575080,596.60
20,1021,79307128,Котлета куриная с картофельным пюре Вкусвилл,172.00,2022-05-30 19:21:24.3729240,
21,1022,79307128,Суп с фрикадельками из индейки Вкусвилл,28.00,2022-05-30 19:21:54.4821060,
22,1023,79307128,Сухарики ржаные Finn Crisp,350.00,2022-05-30 19:23:36.1496960,
23,1024,79307128,Вино Каролин Бэй Совиньон Блан Франция,71.20,2022-05-30 21:00:56.2510980,
24,1025,79307128,Икра горбуши,263.00,2022-05-30 21:14:47.5303040,
25,1026,79307128,Вино Руэда Совиньон Блан,73.30,2022-05-30 22:18:30.9072980,
